Source,Target,Attributes
"BERTUCCIOLI, CRISTIAN","ROCCETTI, MARCO",{'weight': 0.25}
"BERTUCCIOLI, CRISTIAN","MARCOMINI, ANDREA",{'weight': 0.2}
"BERTUCCIOLI, CRISTIAN","VARNI, ANGELO",{'weight': 0.1}
"BERTUCCIOLI, CRISTIAN","MARFIA, GUSTAVO",{'weight': 0.25}
"BERTUCCIOLI, CRISTIAN","AMOROSO, ALESSANDRO",{'weight': 0.05}
"ROCCETTI, MARCO","MARFIA, GUSTAVO",{'weight': 3.7}
"ROCCETTI, MARCO","AMOROSO, ALESSANDRO",{'weight': 1.4}
"ROCCETTI, MARCO","MARCOMINI, ANDREA",{'weight': 0.25}
"ROCCETTI, MARCO","VARNI, ANGELO",{'weight': 0.3}
"MARFIA, GUSTAVO","AMOROSO, ALESSANDRO",{'weight': 1.2}
"MARFIA, GUSTAVO","MARCOMINI, ANDREA",{'weight': 0.25}
"MARFIA, GUSTAVO","VARNI, ANGELO",{'weight': 0.3}
"VARNI, ANGELO","MARCOMINI, ANDREA",{'weight': 0.1}
"VARNI, ANGELO","AMOROSO, ALESSANDRO",{'weight': 0.05}
"MARCOMINI, ANDREA","AMOROSO, ALESSANDRO",{'weight': 0.05}
